Title,Location,Model ,KM,Fuel Type,CC,Specs,Price
Honda Civic Rebirth 2013 VTi Prosmatec 1.8 i-VTEC for Sale,Lahore,2013,"93,000",Petrol,1800,Automatic,29lacs
Honda Civic 2017 Oriel 1.8 i-VTEC CVT for Sale,Islamabad,2017,"59,200",Petrol,1800,Automatic,52.5lacs
Toyota Yaris Hatchback 2021 for Sale,Islamabad,2021,"48,000",Petrol,1000,Automatic,47.75lacs
Toyota Corolla 2014 GLi Automatic 1.3 VVTi for Sale,Islamabad,2014,138,Petrol,1300,Automatic,33lacs
Toyota Fortuner 2017 2.7 VVTi for Sale,Karachi,2017,"107,000",Petrol,2700,Automatic,1.08crore
Honda City 2018 1.3 i-VTEC for Sale,Rawalpindi,2018,"79,400",Petrol,1300,Manual,36.5lacs
Nissan Dayz 2022 for Sale,Sialkot,2022,"13,500",Petrol,660,Automatic,38.35lacs
Honda N Wgn 2019 G L Package for Sale,Faisalabad,2019,"77,000",Petrol,660,Automatic,35lacs
Suzuki Cultus 2010 VXRi for Sale,Rawalpindi,2010,"50,000",Petrol,1000,Manual,15.7lacs
Honda City 5th (GM2) Generation 2009 i-VTEC for Sale,Karachi,2009,"100,700",Petrol,1300,Manual,22.5lacs
Mercedes Benz C Class 2006 C180 for Sale,Peshawar,2006,"171,000",Petrol,2000,Automatic,33lacs
Suzuki Alto 2021 L Upgrade for Sale,Rawalpindi,2021,"13,000",Petrol,660,Automatic,32.25lacs
Toyota Corolla 2021 Altis X Automatic 1.6 for Sale,Karachi,2021,"25,000",Petrol,1598,Automatic,53.5lacs
Toyota Corolla 2016 GLi Automatic 1.3 VVTi for Sale,Karachi,2016,"75,000",Petrol,1300,Automatic,34lacs
Toyota Mark X 2005 250G F Package Smart Edition for Sale,Karachi,2005,"125,000",Petrol,2500,Automatic,39.95lacs
Suzuki Cultus 2008 VXRi for Sale,Karachi,2008,"3,517",Petrol,1000,Manual,9.5lacs
Suzuki Alto 2021 VXL AGS for Sale,Chenab,2021,"6,400",Petrol,660,Automatic,25.5lacs
Toyota Land Cruiser 2003 for Sale,Lahore,2003,"253,000",Diesel,4200,Manual,1.2crore
Toyota Land Cruiser 2008 for Sale,Lahore,2008,"206,000",Diesel,4500,Automatic,2.5crore
Toyota Land Cruiser 6th (J100) Generation 2004 VX 4.2D for Sale,Lahore,2004,"251,000",Diesel,4200,Manual,1.45crore
Daihatsu Mira 2012 X Memorial Edition for Sale,Karachi,2012,"81,000",Petrol,660,Automatic,24.5lacs
Suzuki Bolan 2017 VX Euro II for Sale,Karachi,2017,"50,000",Petrol,800,Manual,12.5lacs
Suzuki Mehran 2003 VXR for Sale,Sialkot,2003,"94,000",Petrol,800,Manual,9.85lacs
Toyota Corolla 2019 Altis Grande CVT-i 1.8 for Sale,Rawalpindi,2019,"57,000",Petrol,1800,Automatic,55.8lacs
Mitsubishi Pajero 1993 for Sale,Abbottabad,1993,"1,000",Diesel,2400,Manual,19lacs
Changan Alsvin 2022 1.5L DCT Lumiere for Sale,Daska,2022,"10,800",Petrol,1500,Automatic,38.5lacs
Toyota Corolla 2014 GLi Automatic 1.6 VVTi for Sale,Peshawar,2014,"150,000",Petrol,1600,Automatic,34.5lacs
Toyota Corolla 2012 XLi VVTi for Sale,Peshawar,2012,"134,634",Petrol,1300,Manual,26.3lacs
Suzuki Bolan 2014 VX Euro II for Sale,Quetta,2014,"25,308",Petrol,800,Manual,14.8lacs
Toyota Corolla 2018 Altis Grande CVT-i 1.8 for Sale,Islamabad,2018,"81,759",Petrol,1800,Automatic,52lacs
Honda City 2000 EXi S Automatic for Sale,Lahore,2000,"250,000",CNG,1500,Automatic,13.5lacs
Toyota Corolla 2012 Altis SR Cruisetronic 1.6 for Sale,Peshawar,2012,"152,000",Petrol,1600,Automatic,33.6lacs
Toyota Prado 2nd (J90) Generation 1996 TZ 3.4 for Sale,Lahore,1996,"100,000",Petrol,3400,Automatic,45lacs
Honda Civic Reborn 2010 VTi Oriel Prosmatec 1.8 i-VTEC for Sale 7.2/10,Karachi,2010,"54,373",Petrol,1800,Automatic,25.5lacs
Honda Civic 7th Generation (Facelift) 2005 VTi Oriel 1.6 for Sale,Islamabad,2005,"150,000",Petrol,1600,Manual,15.8lacs
Suzuki Vitara 2017 GLX 1.6 for Sale,Islamabad,2017,"164,000",Petrol,1600,Automatic,46.75lacs
Toyota Prado 2020 TX L Package 2.7 for Sale,Gujranwala,2020,"17,000",Petrol,2700,Automatic,3.16crore
Toyota Prado 2019 TX L Package 2.7 for Sale,Gujranwala,2019,"44,000",Petrol,2700,Automatic,2.77crore
Toyota Fortuner 2019 2.8 Sigma 4 for Sale,Islamabad,2019,"42,000",Diesel,2800,Automatic,1.45crore
Honda Civic 2016 Turbo 1.5 VTEC CVT for Sale,Islamabad,2016,"65,300",Petrol,1500,Automatic,47.3lacs
Toyota Fortuner 2021 2.7 V for Sale,Karachi,2021,"16,000",Petrol,2700,Automatic,1.5crore
Toyota Raize 2020 Z for Sale,Karachi,2020,"17,000",Petrol,1000,Automatic,57lacs
Suzuki Swift 2017 DLX 1.3 Navigation for Sale,Islamabad,2017,"85,000",Petrol,1300,Manual,25.75lacs
Toyota Corolla 2013 GLi 1.3 VVTi for Sale,Islamabad,2013,"91,000",Petrol,1300,Manual,34.8lacs
Toyota Passo 2014 Plus Hana C for Sale,Attock,2014,"100,000",Petrol,1000,Automatic,29.5lacs
Suzuki Mehran 2018 VXR Euro II for Sale,Rahim,2018,"84,000",Petrol,796,Manual,11.2lacs
Toyota Raize 2020 Z for Sale,Karachi,2020,"41,000",Petrol,1000,Automatic,62lacs
Toyota Prius 2010 G Touring Selection 1.8 for Sale,Peshawar,2010,"82,000",Hybrid,1800,Automatic,49.85lacs
KIA Pride 1997 1.1 for Sale,Karachi,1997,"100,000",Petrol,1100,Manual,30.5lacs
Suzuki Mehran 2018 VXR Euro II for Sale,Khushab,2018,"75,000",Petrol,800,Manual,15lacs
Suzuki Mehran 2006 VX for Sale,Faisalabad,2006,"700,000",Petrol,800,Manual,5.5lacs
Suzuki Liana 2005 Eminent Automatic for Sale,Lahore,2005,"225,000",Petrol,1600,Automatic,14.5lacs
Toyota Corolla 2015 GLi 1.3 VVTi for Sale,Rahim,2015,"90,000",Petrol,1300,Manual,30.1lacs
Toyota Yaris Hatchback 2021 for Sale,Gujranwala,2021,"19,700",Petrol,1000,Automatic,41.5lacs
Suzuki Cultus 2006 VXR for Sale,Islamabad,2006,"455,456",Petrol,1000,Manual,8.65lacs
Honda Civic 2004 VTi Prosmatec 1.6 for Sale,Islamabad,2004,"172,785",Petrol,1600,Automatic,15.45lacs
Honda Civic 2018 Oriel 1.8 i-VTEC CVT for Sale,Islamabad,2018,"75,000",Petrol,1800,Automatic,50.25lacs
Honda Civic Rebirth 2013 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,Lahore,2013,"144,000",Petrol,1800,Automatic,38.75lacs
Toyota Starlet 1996 for Sale,Lahore,1996,"196,000",Petrol,1300,Automatic,21.95lacs
Audi A6 2017 1.8 TFSI for Sale,Lahore,2017,"72,000",Petrol,1800,Automatic,1.45crore
Suzuki Wagon R 2021 VXR for Sale,Karachi,2021,"89,000",Petrol,1000,Manual,24.5lacs
Toyota Yaris 2021 ATIV MT 1.3 for Sale,Karachi,2021,"37,021",Petrol,1300,Manual,45lacs
Chevrolet Optra 2005 for Sale,Lahore,2005,"100,000",Petrol,1500,Automatic,14lacs
Toyota Corolla 9th (E120) Generation 2006 XLi for Sale,Abbottabad,2006,"240,000",Petrol,1300,Manual,18.5lacs
Toyota Land Cruiser 2011 AX G Selection for Sale,Lahore,2011,"119,000",Diesel,4500,Automatic,2.15crore
Daihatsu Mira 2021 X SA lll for Sale,Rawalpindi,2021,"8,000",Petrol,660,Automatic,38.5lacs
Toyota Corolla Hybrid 2020 for Sale,Lahore,2020,"50,000",Hybrid,1800,Automatic,82lacs
